Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Author Gender
221786756,Yetişkinler,Marie Aubert,"Aubert, Marie",Ayşe Erbulak,"=""6259938683""","=""9786259938684""",4,3.55,Yan Pasaj,Paperback,128,2024.0,2019.0,2025/02/23,2025/02/19,,,read,,,,1,0,F
195761205,Benzersiz Kızım,Guadalupe Nettel,"Nettel, Guadalupe",Ayşe Nihal Akbulut,"=""6259995474""","=""9786259995472""",4,4.13,Livera Yayınevi,Paperback,192,2023.0,2020.0,2025/03/01,2025/02/24,,,read,,,,1,0,F
222782269,Lanny,Max Porter,"Porter, Max",Pınar Umman,"=""6057200977""","=""9786057200976""",0,4.05,Monokl Yayınları,Paperback,208,2024.0,2019.0,,2025/03/02,currently-reading,currently-reading (#1),currently-reading,,,,1,0,M
219242964,Peygamberin Şarkısı,Paul    Lynch,"Lynch, Paul",Mert Doğruer,"=""6256084020""","=""9786256084025""",4,4.06,Delidolu Yayınları,Paperback,240,2024.0,2023.0,2025/02/19,2025/01/29,,,read,,,,1,0,M
13353046,Perili Köşk,Ömer Seyfettin,"Seyfettin, Ömer",,"=""""","=""""",0,3.63,,Paperback,111,,1920.0,2010/01/01,2025/02/13,,,read,,,,1,0,M
40806294,Portobello Cadısı,Paulo Coelho,"Coelho, Paulo",Celâl Üster,"=""9750730127""","=""9789750730122""",0,3.56,Can Yayınları,Paperback,272,2018.0,2006.0,2010/01/01,2025/02/13,,,read,,,,1,0,M
25742426,Kuyu ve Sarkaç,Edgar Allan Poe,"Poe, Edgar Allan",,"=""9750722205""","=""9789750722202""",0,4.15,Can Yayınları,Paperback,256,2014.0,1842.0,2019/09/01,2025/02/13,,,read,,,,1,0,M
213805482,Dip Akıntıları,Kirsty Bell,"Bell, Kirsty",Yasemin Çongar,"=""6057260171""","=""9786057260178""",4,4.02,Siren Yayınları,Paperback,296,2024.0,2022.0,2025/02/07,2025/01/29,,,read,,,,1,0,F
219293913,Ağustos Mavisi,Deborah Levy,"Levy, Deborah",Aslı Anar,"=""6253692488""","=""9786253692483""",4,3.66,Everest Yayınları,Paperback,192,2024.0,2023.0,2025/02/11,2025/02/07,,,read,,,,1,0,F
209587014,Genç Adam,Annie Ernaux,"Ernaux, Annie",Siren İdemen,"=""9750763106""","=""9789750763106""",4,3.59,Can Yayınları,Paperback,48,2024.0,2022.0,2025/01/30,2025/01/29,,,read,,,,1,0,F
202012077,Kızın Hikâyesi,Annie Ernaux,"Ernaux, Annie",Siren İdemen,"=""9750762274""","=""9789750762277""",4,3.89,Can Yayınları,Paperback,152,2023.0,2016.0,2025/01/30,2025/01/26,,,read,,,,1,0,F
56060276,Bütün Günlerin Akşamı,Jenny Erpenbeck,"Erpenbeck, Jenny",Regaip Minareci,"=""9750747771""","=""9789750747779""",0,3.75,Can Yayınları,Paperback,272,2020.0,2012.0,,2025/01/29,to-read,to-read (#2),to-read,,,,0,0,F
23642646,Kafamda Bir Tuhaflık,Orhan Pamuk,"Pamuk, Orhan",,"=""""","=""""",5,4.15,Yapı Kredi Yayınları,Paperback,480,2014.0,2014.0,2020/04/01,2025/01/14,,,read,,,,1,0,M
31146477,4 Hane 1 Teslim,Eyüp Aygün Tayşir,"Tayşir, Eyüp Aygün",,"=""9750519973""","=""9789750519970""",4,4.23,İletişim Yayıncılık,Paperback,404,2016.0,2016.0,2020/07/01,2025/01/14,,,read,,,,1,0,M
43223463,Madenci,Natsume Sōseki,"Sōseki, Natsume",Sinan Ceylan,"=""""","=""9786056840562""",4,3.95,Jaguar Kitap,Paperback,216,2018.0,1908.0,2020/10/01,2024/12/07,,,read,,,,1,0,M
16167118,Gurur ve Önyargı,Jane Austen,"Austen, Jane",Hamdi Koç,"=""9754587027""","=""9789754587029""",5,4.29,İş Bankası Kültür Yayınları,Paperback,424,2006.0,1813.0,2020/11/01,2024/12/07,,,read,,,,1,0,F
58478790,Bir Katilin Güncesi,Young-ha Kim,"Kim, Young-ha","Özlem Gökçe, Açelya Yavuz","=""605083914X""","=""9786050839142""",4,3.73,Timaş Yayınları,Paperback,144,2021.0,2019.0,2022/03/01,2024/12/07,,,read,,,,1,0,M
34816427,Yengeler Cumhuriyeti,Mustafa Çiftci,"Çiftci, Mustafa",Tanıl Bora,"=""9750521714""","=""9789750521713""",4,3.8,İletişim Yayıncılık ,Paperback,182,2017.0,2017.0,2021/03/01,2024/12/07,,,read,,,,1,0,M
13634667,Milena'ya Mektuplar,Franz Kafka,"Kafka, Franz",Esen Tezel,"=""9750711106""","=""9789750711107""",5,3.91,Can Yayınları,Paperback,400,2009.0,1952.0,2021/03/01,2024/12/07,,,read,,,,1,0,M
6850768,Huzur,Ahmet Hamdi Tanpınar,"Tanpınar, Ahmet Hamdi",,"=""""","=""9789759952471""",5,4.26,Dergâh Yayınları,Paperback,424,2014.0,1949.0,2021/08/01,2024/12/07,,,read,,,,1,0,M
27215295,Nasipse Adayız,Ercan Kesal,"Kesal, Ercan",,"=""9750518446""","=""9789750518447""",4,3.75,İletişim Yayıncılık,Paperback,194,2015.0,2015.0,2021/10/01,2024/12/07,,,read,,,,1,0,M
18196302,Uykusuzluk,Henry Miller,"Miller, Henry",Haluk Erdemol,"=""605590425X""","=""9786055904258""",5,3.6,Notos Kitap,Hardcover,53,2010.0,1964.0,2021/08/01,2024/12/07,,,read,,,,1,0,M
6068847,Eylül,Mehmet Rauf,"Rauf, Mehmet",,"=""""","=""""",5,3.53,Beyaz Balina Yayınları,Paperback,289,2005.0,1901.0,2021/10/01,2024/12/07,,,read,,,,1,0,M
57875008,Emanet Çocuk,Claire Keegan,"Keegan, Claire",Behlül Dündar,"=""6257027144""","=""9786257027144""",5,4.32,Jaguar,Paperback,80,2021.0,2010.0,2022/06/01,2024/12/07,,,read,,,,1,0,F
61267044,Bu Hikâye Senden Uzun Osman,Aylin Balboa,"Balboa, Aylin",,"=""9750533321""","=""9789750533327""",5,4.14,İletişim Yayınları,Paperback,129,2022.0,,2022/11/01,2024/12/07,,,read,,,,1,0,F
16039471,Tanrıyı Gören Köpek,Dino Buzzati,"Buzzati, Dino",Rekin Teksoy,"=""9755103627""","=""9789755103624""",4,4.14,Can Yayınları,Paperback,152,1992.0,1968.0,2022/11/01,2024/12/07,,,read,,,,1,0,M
27296443,İnsanlığımı Yitirirken,Osamu Dazai,"Dazai, Osamu",Hüseyin Can Erkin,"=""6056550508""","=""9786056550508""",4,3.97,Japon Yayınları,Paperback,116,2015.0,1948.0,2022/11/01,2024/12/07,,,read,,,,1,0,M
62340538,Son Emel,Mehmet Rauf,"Rauf, Mehmet",,"=""9750757483""","=""9789750757488""",5,3.75,Can Yayınları,Paperback,152,2022.0,,2022/12/01,2024/12/07,,,read,,,,1,0,M
57372252,Kurtarma Mesafesi,Samanta Schweblin,"Schweblin, Samanta",Emre İmre,"=""975074764X""","=""9789750747649""",5,3.72,Can Yayınları,Paperback,104,2021.0,2014.0,2022/12/01,2024/12/07,,,read,,,,1,0,F
62976020,Böyle Küçük Şeyler,Claire Keegan,"Keegan, Claire",Umay Öze,"=""""","=""""",5,4.15,Jaguar Kitap,Paperback,88,2022.0,2021.0,2023/01/30,2023/06/07,,,read,,,,1,0,F
44091036,Karanfil ve Yasemin,Mehmet Rauf,"Rauf, Mehmet",,"=""""","=""""",5,4.12,İnkilap Kitapevi,Paperback,350,,,2023/01/30,2023/06/07,,,read,,,,1,0,M
38819176,Naif. Süper,Erlend Loe,"Loe, Erlend",Dilek Başak,"=""6055903717""","=""9786055903718""",5,3.86,Siren Yayınları,Paperback,216,2018.0,1996.0,2023/01/30,2023/06/07,,,read,,,,1,0,M
23207127,Belki Bir Gün Uçarız,Aylin Balboa,"Balboa, Aylin",,"=""975051615X""","=""9789750516153""",5,3.94,İletişim Yayınları,Paperback,148,2014.0,2014.0,2023/03/30,2023/06/07,,,read,,,,1,0,F
7871499,Franny ve Zooey,J.D. Salinger,"Salinger, J.D.",Ömer Madra,"=""""","=""""",3,3.96,Yapı Kredi Yayınları,Paperback,152,2005.0,1957.0,2023/03/30,2023/06/07,,,read,,,,1,0,M
28371803,Yalnızlar İçin Çok Özel Bir Hizmet,Murat Gülsoy,"Gülsoy, Murat",,"=""9750729986""","=""9789750729980""",5,3.6,Can Yayınları,Paperback,208,2016.0,2016.0,2023/03/30,2023/06/07,,,read,,,,1,0,M
64666209,Olduğum Yer,Jhumpa Lahiri,"Lahiri, Jhumpa",Eren Yücesan Cendey,"=""6051982566""","=""9786051982564""",5,3.76,Domingo Yayınevi,Paperback,155,2022.0,2018.0,2023/04/30,2023/06/07,,,read,,,,1,0,F
17875076,Katalin Sokağı,Magda Szabó,"Szabó, Magda",Tarık Demirkan,"=""9750817044""","=""9789750817045""",5,4.13,Yapı Kredi Yayınları,Paperback,214,2009.0,1969.0,2023/04/30,2023/06/07,,,read,,,,1,0,F
40936153,Unutma Beni Apartmanı,Nermin Yıldırım,"Yıldırım, Nermin",,"=""6051920846""","=""9786051920849""",5,3.94,Hep Kitap,Paperback,424,2017.0,2011.0,2023/07/31,2025/01/25,,,read,,,,1,0,F
48586711,Kasiyer,Sayaka Murata,"Murata, Sayaka",Hüseyin Can Erkin,"=""""","=""9786057717313""",4,3.68,Turkuvaz Kitap,Paperback,126,2019.0,2016.0,2023/07/21,2023/07/21,,,read,,,,1,0,F
34005033,Kıymetli Şeylerin Tanzimi,Sezen Ünlüönen,"Ünlüönen, Sezen",,"=""9750521390""","=""9789750521393""",5,3.92,İletişim Yayınları,Paperback,248,2017.0,,2023/07/14,2023/06/12,,,read,,,,1,0,F
40670880,Bildiğimiz Dünyanın Sonu,Erlend Loe,"Loe, Erlend",Dilek Başak,"=""9750842596""","=""9789750842597""",4,3.67,Yapı Kredi Yayınları,Paperback,224,2018.0,2015.0,2023/07/07,2023/07/07,,,read,,,,1,0,M
57215650,"Volvo Kamyonlar (Doppler, #2)",Erlend Loe,"Loe, Erlend",Dilek Başak,"=""9750849221""","=""9789750849220""",4,3.58,Yapı Kredi Yayınları,Paperback,160,2021.0,2005.0,2023/06/30,2023/06/27,,,read,,,,1,0,M
8566535,Malina,Ingeborg Bachmann,"Bachmann, Ingeborg",Ahmet Cemal,"=""975080810X""","=""9789750808104""",3,4.04,Yapı Kredi Yayınları,Paperback,303,2009.0,1971.0,2023/06/27,2023/06/07,,,read,,,,1,0,F
52999057,Sarı Duvar Kağıdı,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",Sevda Deniz Karali,"=""6057762304""","=""9786057762306""",5,4.08,İthaki Yayınları ,Paperback,72,2019.0,1892.0,2023/06/05,2023/06/07,,,read,,,,1,0,F
